SKU,ItemTitle,ItemDescription,ItemBulletPoint,ItemDescription_2,Manufacturer,MfrPartNum,SellUOM,ItemPrice,ItemFactTag,Segment,Segment Name,Category,Category Name,Class,Class Name,Sub-Class,Sub-Class Name
134782,"Ergodyne Skullerz 8975-MIPS Class C Safety Helmet With MIPS Technology, Orange","Help prevent injuries at the job site when wearing an Ergodyne Skullerz 8975-MIPS Class C Safety Helmet With MIPS Technology. The MIPS elevate safety system reduces the effect of angled impacts, while the open frame offers ample air circulation for coolin","<ul><li>MIPS elevate safety system reduces effect of angled impacts by decreasing rotational energy that can cause brain shear.</li> <li>Suspension and shell design are compliant to EN 12492 side impact testing requirements for all-over protection.</li> <li>Chin strap helps to secure helmet in place upon falling or sudden impact/movement.</li> <li>Removable hard hat sweatband is made of breathable, sweat-wicking and machine washable materials.</li> <li>Compact shell design increases visibility, particularly when looking up.</li> <li>Flexible open frame with perforated MIPS safety system offers improved air circulation.</li> <li>Adjustable venting for a cool helmet in heat and a dry helmet in the rain.</li> <li>1-handed adjustment knob pivots to improve fit and clear bandana or ponytail knots.</li> <li>Easy bolt-on mounting of Skullerz 8991 Safety Helmet Visor (sold separately) for increased eye protection.</li> <li>Integrated headlamp slots on front and rear for use with the Skullerz Hard Hat LED Light (sold separately).</li> <li>Tested and approved ANSI Z89.1-2014, CSA Z94.1-15, TYPE 1, Class E, EN12492:2012 4.2.1.2, 4.2.1.3, 4.2.1.4, 4.2.2, 4.2.3, 4.2.4, EN397:2012+A1:2012 5.2.1, 5.2.4, 5.2.5.</li></ul>",,ERGODYNE CORPORATION,60257,EA,,,SEG_12000000,Footwear & Apparel,CAT_12300000,Headgear,CLS_12310000,Head Protection,SUB_12310003,Hard Hats
87907,"SKILCRAFT 7520-01-582-7273 Vertical Wall Hanging File - 7.3"" Height x 13.5"" Width x 4"" Depth - Wall Mountable - Clear - Polystyrene - 1 / Each",Wall file holder keeps frequently used files accessible.,"<ul><li>Mount file easily to walls, partitions, doors or cabinets.</li> <li>Modern design provides maximum visibility and easy retrieval for files and documents.</li> <li>Additional units can be stacked vertically for a multipocket system.</li> <li>High-impact polystyrene makes them virtually unbreakable.</li> <li>Wall file includes wall anchors and doubled-sided tape for choice of installation.</li> <li>Hanging wall file is made using 100 percent recycled plastic with a minimum of 25 percent post-consumer material.</li></ul>","<p>Wall file holder keeps frequently used files accessible. Mount file easily to walls, partitions, doors or cabinets. Modern design provides maximum visibility and easy retrieval for files and documents. Additional units can be stacked vertically for a multipocket system. High-impact polystyrene makes them virtually unbreakable. Wall file includes wall anchors and doubled-sided tape for choice of installation. Hanging wall file is made using 100 percent recycled plastic with a minimum of 25 percent post-consumer material.</p>",NATIONAL INDUSTRIES FOR THE BLIND,7520-01-582-7273,EA,0.01,,SEG_5000000,Desk Accessories,CAT_5500000,File Organizers,CLS_5520000,File Organizers - Wall,SUB_5520001,Wall Files
213219,"Intuit® QuickBooks® Online Plus 2020, 1 Year Subscription","Manage your business on the go with QuickBooks Online 2020. There's no software to install, so you can quickly set up your account to meet the unique needs of your business.","<ul><li>With no software to install, QuickBooks Online 2020 is easy to set up and simple to learn. It can be tailored to meet the needs of your business. </li> <li>Access your account anywhere at any time on 1 device. Compatible with select PC and Mac computers and mobile devices. </li> <li>QuickBook Online mobile app works with iPhone®, iPad® and Android devices and tablets (devices sold separately; data plan required). </li> <li>Download version. </li> <li>Create and send invoices, track income, expenses and profit information and pay bills on a recurring schedule — all right from QuickBooks. </li> <li>Grants access to quick reports and business planning tools.</li> <li>Allows you to prepare and print 1099 forms and track inventory. </li></ul>",,"INTUIT, INC.",607055,EA,80.09,,SEG_30000000,Software,CAT_30100000,Software - Accounting & Finance,CLS_30110000,Software - Finance,SUB_100641,Software Product Key & Box - Small Business Finance
232317,"Custom Tactile Tonal Embroidered Print Cap, Charcoal/Black",Represent your brand anywhere you go while wearing the Custom Tactile Tonal Embroidered Print Cap. An adjustable strap provides a snug fit.,<ul><li>Low-profile structured cap.</li> <li>6 panels.</li> <li>No button on the crown.</li> <li>Adjustable plastic snap-top closure. </li></ul>,,,,EA,15.51,,SEG_32000000,Promotional Products,CAT_32990100,Promotional - Apparel,CLS_32990110,Custom - Caps & Hats,SUB_32990111,Caps & Hats - Custom 3rd Party
38023,"HP 820 G4 Refurbished Laptop, 12.5"" Screen, Intel® Core™ i5, 16GB Memory, 256GB Solid State Drive, Windows® 10 Pro","If you want a reliable computer, choose this HP Elitebook 820 laptop. The refurbished HP laptop offers the Windows 10 Pro operating system and a high-speed Intel Core i5 processor to help with everyday needs. The SSD laptop features a 12.5"" HD display to","<ul><li>12.5"" display provides HD resolution (1366 x 768).</li> <li>Powered by the Intel Core i5-7200U processor. Multi-task with confidence.</li> <li>16GB of memory is available. Expandable up to 32GB (additional memory sold separately).</li> <li>256GB SATA solid state drive provides room for your files. Keeps your running programs active, while your computer resumes from suspension in just a few seconds.</li> <li>Wireless-AC (802.11a/b/g/n/ac) networking for cable-free connectivity.</li> <li>Gigabit Ethernet connection offers fast wired connectivity.</li> <li>Memory card reader for easy file transfers.</li> <li>2 USB 3.1 ports and a USB-C port to let you add peripherals.</li> <li>Displayport, RJ-45 and VGA ports allow connection of video sources (cables sold separately).</li> <li>Multi-touch touch pad for easy maneuvering.</li> <li>Stays powered for 4 hours. Battery life will vary depending on the product configuration, product model, applications loaded on the product, power management setting of the product, and the product features used by the customer. As with all batteries, the maximum capacity of this battery will decrease with time and usage.</li> <li>Runs on Windows 10 Pro.</li> <li>Intel HD Graphics 620 for games and more.</li> <li>Backed by the refurbisher's 1-year limited warranty.</li> <li>Intel, the Intel Logo, Intel Inside, the Intel Inside logo, Intel Core, Intel Atom, Celeron, Pentium and Pentium Inside are trademarks of Intel Corporation in the U.S. and/or other countries.</li> <li>Eco-conscious choice — has one or more meaningful eco-attributes or eco-labels.</li> <li>Refurbished — a quality product restored and ready for re-use, helping you save resources, reduce waste, and potentially save money.</li></ul>",,"JOY SYSTEMS, INC",OD5-33376,EA,,,SEG_12000000,Footwear & Apparel,CAT_12200000,Footwear,CLS_12230000,Footwear Accessories,SUB_12230003,Shoe Insoles
182130,Arcade1Up Frogger Special Edition Arcade Machine,Help Frogger return home with the classic Arcade1Up Frogger Special Edition Arcade Machine. Cross a high-speed highway and a raging river filled with gators on a 17' full-color screen and speakers to fully immerse you in the game.,"<ul><li>Includes Frogger Time, Pilot Time and Pilot84 games.</li> <li>Cross a dangerous highway with high-speed traffic and a rapid river filled with gators to get Frogger back home.</li> <li>Machine panels feature original game artwork.</li> <li>Custom riser.</li> <li>4-player control deck with a real-feel joystick and control buttons.</li> <li>Includes a padded stool with a footrest for comfortable gaming.</li> <li>17” full-color LCD display.</li> <li>Light-up deck protector and marquee.</li> <li>Adjustable volume.</li> <li>Plugs into an AC outlet.</li> <li>Includes an anti-tip strap.</li> <li>Assembly required – easy assembly.</li> <li>Backed by the manufacturer's 90-day limited warranty.</li></ul>",,"THE WISH FACTORY, LLC",8.1522102136e+11,EA,,,SEG_22000000,Gaming Consoles & Virtual Reality,CAT_22100000,Consoles,CLS_22110000,Video Game Consoles,SUB_22110002,Game Consoles - Home Video
87643,"Mind Reader 5-Compartment Bamboo Desk Storage Organizer, Brown","A cluttered desk can make it more difficult to find essential office supplies. This desk storage option offers space for all of your everyday essentials, so you can get and stay organized.",<ul><li>Made of rugged bamboo to add a bit of natural beauty to your work space.</li> <li>Multiple compartments make it easy to keep office supplies stored and organized.</li> <li>Nonskid base provides added stability.</li></ul>,,EMS MIND READER LLC,DORG5BM-BRN,EA,1.99,* Simple way to keep your desk tidy * Naturally elegant bamboo * Multiple compartments FORAY pens Office Depot paper Office Depot envelopes,SEG_5000000,Desk Accessories,CAT_5500000,File Organizers,CLS_5510000,File Organizers - Desktop,SUB_5510001,Desktop File Sorters
134379,"Ergodyne ProFlex® Economy Back Support, 1100SF, 4X, Black","Make bending, lifting and twisting on the job easier on your back with this Ergodyne ProFlex Economy back support. The durable spandex body fits snugly around your core, giving you the support you need to perform your best.","<ul><li>Supports your back while lifting heavy items.</li> <li>Made with spandex design and rubber track webbing for a secure fit.</li> <li>Non-conductive polypropylene stays lend additional support.</li> <li>Adjustable, detachable suspenders provide comfort.</li> <li>Power Panel Positioners™ help you gain reliable support.</li></ul>",,ERGODYNE CORPORATION,11608,EA,,,SEG_12000000,Footwear & Apparel,CAT_12100000,Apparel,CLS_12150000,Supportive Gear,SUB_12110022,Support Belts
213691,"StarTech.com Hard Drive Eraser For 2.5 or 3.5 in. SATA Drives, 4-Bay, Standalone, Hard Drive Wiper",,"<ul><li>Easy operation with LCD display and push-button navigation</li> <li>Built-in 9-pin serial port enables you to print erase logs using a receipt printer</li> <li>Secure, standalone drive erasing for up to four 2.5""/3.5"" SATA SSD/HDD drives</li> <li>9 erase modes including: Quick and Secure Erase, Single Pass Overwrite and Multi-pass Overwrites - meets DoD (5220.22-M) standards</li> <li>Also supports 2.5"" and 3.5"" IDE hard drives, mSATA drives and SATA M.2 drives using a compatible StarTech.com adapter</li> <li>Supports SATA I and II (up to 3 Gbps)</li></ul>","This hard drive eraser provides standalone, simultaneous drive erasing for up to four 2.5 in. or 3.5 in. SATA hard drives or solid-state drives.Save time with a four-bay, standalone eraser <p>Unlike hard-drive docking stations or adapters that require a computer connection and software to erase drives, this hard drive sanitizer features standalone erasing that doesn't require a host computer. This avoids the hassle of connecting your drives to a host computer and protects your drives from external security threats like remote data access.</p> <p>The four-bay design maximizes efficiency by batching multiple drives in single erase projects, saving you valuable time. The hard drive eraser supports USB 3.0, also known as USB 3.1 Gen 1, with file transfer rates of up to 5Gbps.</p> Maximum versatility with multiple erase modes <p>Using industry-recognized erase modes, the hard drive eraser securely sanitizes the data from your 2.5 in. or 3.5 in. SSDs or HDDs. It supports nine erase modes including Quick Erase, Single and Multi-pass Overwrites, Custom Erase, Secure Erase and Enhanced Secure Erase. The Multi-pass Overwrite (3-Pass Full Disk Overwrite) erase procedures meet the requirements of DoD (5220.22-M) standards.</p> <p>Support for a variety of erase modes makes this drive eraser perfect for virtually any professional application. Single-Pass Overwrite is ideal for IT technicians and system administrators who decommission and repurpose old hard drives, while Quick and Secure Erase, Single Pass Overwrite and Multi-pass Overwrite modes (meeting DoD standards) are ideal solutions for research laboratories, health offices, law offices and accountants who manage sensitive data and require secure erasing to avoid potential privacy breaches.</p> <p>In addition to supporting 2.5 in./3.5 in. SATA SSDs and HDDs, the hard drive eraser also works with 2.5 in. and 3.5 in. IDE hard drives, mSATA drives and SATA M.2 drives using a compatible StarTech.com adapter:</p> <p>IDE hard drives:  Use StarTech.com adapter SAT2IDEADP SATA to 2.5 in. or 3.5 in. IDE Hard Drive Adapter for HDD Docks</p> <p>mSATA drives: Use StarTech.com adapter SAT32MSAT257 mSATA SSD to 2.5 in. SATA Adapter Converter</p> <p>M.2 drives: Use StarTech.com adapter SAT32M225 M.2 NGFF SSD to 2.5 in SATA Adapter Converter</p> Hassle-free operation and erase log recording <p>The hard drive eraser features convenient menu navigation that ensures fast and efficient performance, with push-button operation and a built-in LCD display that clearly identifies the erase modes and task status. You can also connect the eraser to a computer to quickly access the drive that's connected to port-1.</p> <p>To ensure your records are complete for auditing, the hard drive eraser features a 9-pin serial port that can connect to a serial printer to provide on-demand erase logs.</p> <p>The SATERASER4 is backed by a StarTech.com 2-year warranty and free lifetime technical support.</p>",STARTECH.COM,SATERASER4,EA,573.12,,SEG_30000000,Software,CAT_30400000,Software - Cybersecurity,CLS_30410000,"Software - Antivirus, Security & Utility",SUB_100696,Software Download - Utility
213310,"H&R Block® 2019, Basic For PC/Mac®","Simplify tax time with this H&R Block tax software. With 24/7 help and step-by-step guidance, this software assists you with deductions, credits and other questions.","<ul><li>File federal taxes and take advantage of the help center with more than 13,000 searchable articles.</li> <li>Import your W-2, 1099, 1098, and last year’s personal tax return even from outside software.</li> <li>Comes with 5 federal e-files, unlimited federal preparation and printing.</li> <li>Itemize deductions with Schedule A.</li> <li>Accuracy Review software checks for issues in your paperwork and assesses your audit risk.</li> <li>Provides step-by-step guidance on all available credits and deductions.</li> <li>Virtual Assistant is ready to help 24/7. Free live product help via chat. </li> <li>State download available for an additional fee.</li></ul>",,HRB DIGITAL LLC,1033600-19,EA,1.98,* 24/7 help and step guidance * 5 federal e-files * State download (additional fee) * Unlimited federal prep and print USB flash drive Office Depot paper,SEG_30000000,Software,CAT_30100000,Software - Accounting & Finance,CLS_30120000,Software - Tax Preparation,SUB_100643,Software Product Key & Box - Tax Preparation
213359,Partition Manager Advanced,,<ul></ul>,"<p>Single License for 3 individual home PCs - partitioning of physical &amp; virtual drives without data loss, automatic partition alignment, securely converts between different file systems and partitioning schemes, and easily creates bootable recovery media</p><p>Advanced partitioning operations, create, delete, format, and resize partitions. View and modify advanced disk properties. Quick, simple and flexible partitioning and optimization tool to easily redistribute free space to enhance system performance for your Hard Disks and SSDs</p><p>Complex partitioning made simple</p><p>The plus side for pros: Edit virtual hard disks</p><p>Boot Management for your flexibility</p><p>High-performance partitioning tools</p><p>Data security&#160;<em style=""box-sizing: border-box;"">plus</em>&#160;thanks to proven technologies</p><p>Paragon Recovery Medium</p><p>&#160;</p>",,,EA,32.46,,SEG_30000000,Software,CAT_30300000,Software - Business & Office,CLS_30310000,Software - Business Applications,SUB_100654,Software Download - Backup
231983,"Custom Office Tech Essentials Kit, Assorted Colors","Satisfy all of your office technology needs with the Custom Office Tech Essentials Kit. This kit includes Bluetooth headphones, a webcam cover and a computer mouse for a home or work setup.","<ul><li>Kit includes a webcam cover, mouse and a pair of Bluetooth® earbuds.</li> <li>Ideal for all of your office technology needs while working from home or in the office. </li></ul>",,,,EA,24.77,,SEG_32000000,Promotional Products,CAT_32940000,Promotional - Office & Desk Accessories,CLS_32941000,Custom - Desk Accessories,SUB_32941001,"Desk - Accessories, Custom 3rd Party"
88447,Realspace® Black Faux Leather Desk Valet,The Faux Leather Collection combines simple lines and luxe faux leather for a timeless office look,"<ul><li>An all-in-one desk or countertop organizing solution.</li> <li>At almost 12"" wide, two rear slots easily accommodate letter size documents and files.</li> <li>Two 5 3/4"" front slots can be used for mail, stationery or supplies like pens or scissors.</li> <li>Durable, sturdy, heavy-duty mdf covered in luxe leatherette material.</li></ul>",,ADVANTUS CORP.,61807,EA,2.3,* Stylish and functional Leatherette,SEG_5000000,Desk Accessories,CAT_5900000,Supply Organizers,CLS_5920000,Supply Organizers - Desktop,SUB_5920001,Multi-Supply Organizers - Desktop
182765,Blink XT2 HD Network Camera - 2 Pack - 1920 x 1080 - Wall Mount - Alexa Supported,,<ul><li>There is no need to restrict security camera to a fixed cable. Wireless camera offers utmost flexibility during and after installation.</li> <li>Network camera - Helps achieve high-quality video results</li> <li>Up to 1920 x 1080 resolution for surveillance in real-time</li></ul>,"<p><b>Two Blink XT2 Indoor/Outdoor Cameras + Sync Module</b><b>, Wall Mount & </b><b><b>Accessories</b></b></p> <p>With the Blink XT2, you can now protect your entire home, inside and out, with the same video-first security that you have come to love PLUS two-way audio, extended battery life, customizable motion zones, and more.</p> <p>2 year battery life on two AA lithium batteries with a combination of two-way talk, live view, and motion recording. Double the usage of the XT on a single set of batteries when recording video.</p> <p><b>YES! Blink XT2 works with your existing Blink Sync Module!</b></p> <p><b>Product Details</b></p> <ul> <li>HD Video</li> <li>Motion Alerts</li> <li>Weather Resistant</li> <li>Infrared Night Vision</li> <li>Live View Video</li> <li>Temperature Sensor</li> <li>Free Cloud Storage</li> </ul> <p><b>New with XT2</b></p> <ul> <li>2-Way Audio</li> <li>Live View Recording</li> <li>Extended Battery Life</li> <li>Customizable Motion Zones</li> </ul>",AMAZON.COM,B07MN67BCR,EA,154.37,,SEG_23000000,Home Automation & Security Technology,CAT_23200000,Security Systems,CLS_23230000,Security Cameras,SUB_23230002,Security Camera Systems
232209,BIC Clic Stic Ecolutions,"A sleek, environmentally conscious pen that everyone will want!",<ul><li>.5mm ultra fine point.</li> <li>Ink color matches trim color.</li> <li>Your promotional message screen printed</li> <li>Greener choice — contains 62% recycled content.</li> <li>Minimum quantity order required: 300</li></ul>,,,,EA,0.78,,SEG_32000000,Promotional Products,CAT_32990000,Promotional - Writing Instruments,CLS_7670466,Custom - Pens,SUB_7671019,Pens - Custom 3rd Party
88376,"Mind Reader K-Cup® Pods Storage Drawer, 72-Pod Capacity, Black",Stay organized by holding your various bottles neatly rather than having them simply on the counter. This wire organizer can hold up to 4 bottles and keeps your counter clear from clutter.,"<ul><li>Metal wire construction offers style and convenience.</li> <li>Organize your kitchen by keeping your bottles neat and orderly. Can accommodate wine bottles, syrup bottles and condiment bottles.</li> <li>Holds up to 4 bottles.</li></ul>","<p>Coffee pod drawer features two sliding drawers to organize and keep up to 72 single-serve pods at the ready. Durable construction allows you to conveniently place your single-serve coffee machine directly on top for space-saving use. Plus, its stylish design coordinates well with most modern decor. Coffee pod drawer is perfect for kitchens, breakrooms and more.</p>",EMS MIND READER LLC,DBMTRAY-BLK,EA,40.96,* Keep single-serve pods organized * Fits under most single-serve coffee machines * Sturdy metal construction Coffee maker Office Depot hot cups Creamer,SEG_5000000,Desk Accessories,CAT_5900000,Supply Organizers,CLS_5920000,Supply Organizers - Desktop,SUB_5920001,Multi-Supply Organizers - Desktop
88543,"Kantek Acrylic Paper Clip Holder, 3"" x 2 3/4"" x 3 1/2"", Clear",Conveniently stores your paper clips,<ul><li>Made of acrylic.</li> <li>Holds up to 350 small paper clips.</li></ul>,"<p>No digging around or fighting with a magnet, this Paper Clip Holder holds clips at an accessible angle, making them easy to get when you need them. Crafted of heavy cast polished acrylic for both style and durability.</p>",KANTEK INC.,AD40,EA,6.71,"* Desktop organization * Made of acrylic * Hold up to 350 small paper clips * 3"" x 2 3/4"" x 3 1/2""",SEG_5000000,Desk Accessories,CAT_5900000,Supply Organizers,CLS_5920000,Supply Organizers - Desktop,SUB_5920002,Paper Clip Holders - Desktop
87955,"Office Depot® Brand 30% Recycled Legal-Size Desk Trays, 9"" X 16 1/4"", Black, Pack Of 2",For convenient desktop organization,"<ul><li>Stacks securely to create a convenient form of desktop organization.</li> <li>Durable, injection-molded design. Features a ribbed bottom to prevent paper from sticking.</li> <li>Built-in handles make trays portable.</li> <li>Greener choice — contains 30% total recycled content.</li></ul>",,OFFICE DEPOT,10454,PK,0.01,* Stacking trays save you space! * Built-in handles * Pack of 2 Office Depot file folders Foray pens,SEG_5000000,Desk Accessories,CAT_5600000,Letter Trays,CLS_5610000,Letter Trays - Cubicle,SUB_5610001,Paper Trays - Cubicle
88492,"Mind Reader 4-Compartment Pencil Cup Organizers, 4-1/4”H x 6-1/4”W x 3”D, Black, Pack Of 2 Organizers","Keep your desktop essentials neatly tucked away within the Mind Reader Pencil Cup Organizer. The 4-compartment design has ample space for writing utensils, index cards, paper clips and other items.","<ul><li>Durable metal mesh construction for lasting use.</li> <li>4-compartment design can organize desktop accessories like pens, pencils, staples, sticky notes, index cards and more.</li> <li>Maximizes desk space while tidying up.</li> <li>Low-profile, stylish design will complement your existing office décor.</li></ul>",,EMS MIND READER LLC,EMPORG2-BLK,EA,20.13,,SEG_5000000,Desk Accessories,CAT_5900000,Supply Organizers,CLS_5920000,Supply Organizers - Desktop,SUB_5920001,Multi-Supply Organizers - Desktop
134494,"Medline Double-Tread Terrycloth Slippers, X-Large, Beige, Pack Of 48 Pairs","These slippers are designed with skid-resistant treading, which is great for those who need to be up and moving at the workplace. The terry cloth interiors help feet stay comfortable by absorbing moisture throughout the day.",<ul><li>Skid-resistant treading keeps you on your feet.</li> <li>Terry cloth interiors soak up perspiration while keeping feet comfortable.</li> <li>Color coded to allow quick reference to the size.</li></ul>,,"MEDLINE INDUSTRIES, INC.",MDTDBLTREADXL,CA,,* Comfortable footwear * Terrycloth interiors * Bariatric size * Pack of 48 pairs Scrub pants Scrub tops Face masks,SEG_12000000,Footwear & Apparel,CAT_12200000,Footwear,CLS_12230000,Footwear Accessories,SUB_12230005,Slippers - Medical
134291,"Classic Rain Coat, Detachable Hood, 0.35 mm PVC/Poly, Yellow, 49 in 3X-Large",,"<ul><li>Black plastic snap storm fly front</li> <li>Cape ventilated back with three mesh holes</li> <li>Two patch pockets with flaps, with black plastic snaps</li> <li>Underarm vents</li> <li>Black plastic take up snaps at the wrists</li></ul>",,MCR SAFETY,200CX3,EA,,,SEG_12000000,Footwear & Apparel,CAT_12100000,Apparel,CLS_12140000,Protective Garments,SUB_6147869,Rain Gear
